;; -*- coding: utf-8 -*-

[Parameter]
first-char=bcdfghjklmnpqrstvwxyz
total-char=abcdefghijklmnopqrstuvwxyz

[Punctuation]
{ 『
| ÷
} 』
` ・
! ！
$ ￥
% ％
& ※
( （
) ）
* ×
+ ＋
, ，
. 。
/ 、
: ：
; ；
< 《
= ＝
> 》
? ？
[ 【
] 】
^ ……
_ ──
" “ ”
' ‘ ’

[Table]
b 不
ba 边
baa 骠
bae 屏
bai 陛
bb 并
bba 包
bbai 疤 郥
bbau 貱 髲
bbe 病
bbea 疪
bbee 癍
bbei 毕 贲 瘭 坒 枈 髩 賁 並
bbeu 毙 贆
bbi 帛
bbia 痹 赑 贔
bbo 鬓
bboa 毖
bboe 癝
bboo 鬢
bbou 粊
bbu 兵
bbua 痭 皀 疕 匂
bbue 败 敗
bbui 瘪 魄 賲 痺 鬂 鳪 癟
bbuo 贬 勽 貶
bbuu 瘢
bc 辈
bca 彼
bcae 薜 螁 蘗
bcai 芭 蚆
bcau 蚾
bce 蚌
bcea 荜 蜌 芘 蚍
bcee 蜯 菶
bcei 苯 荸 菝 蕔 菢 蔈 苪 蛃 葧
bceu 茇 軷 蛂
bci 蔑
bcia 忁 藣 蛽 萞 莂 菎 蓽
bcie 苝 軰 荹 輩
bcii 轐
bco 薄
bcoa 蝙 苾 萹 徧
bcoe 蒡 苄 藨 蔀
bcoo 菠 萡 蠙 蔢
bcou 蔽 徶 蟞
bcu 蓓
bcua 苞 龅 蔔 齙
bcue 薭 藊
bcui 葆 蓖 萆 蝂 藵 苩
bcuu 螌
bd 半
bda 波
bdai 夿
bdau 夯
bde 奔
bdea 沘
bdee 幷 癷
bdei 渤 泍 湢 浡 湐
bdeo 灞
bdeu 疒 渀 夶
bdi 冰
bdia 瀑 滭 奰
bdie 濒 淲 滮 瀕
bdo 滨
bdoa 泌
bdoe 汴 瀌 殕
bdoo 殡 濵 濱 殯
bdou 湴 龞 洴
bdu 泊
bdue 滗 潷
bdui 浜 濞 豍 鄨 斃
bduo 汃
bduu 汳 丷
be 把
bea 毕
bee 邦
bei 柄
beia 丙
beie 扳
beiu 彬
beo 雹
beu 碑
beuo 飙
bf 报
bfa 爸
bfae 摒 拂
bfao 撪 撥
bfau 拨
bfe 捕
bfee 拝 挷
bfei 搏 摽 抦 挬 缽
bfeu 拔 飙 抜 颰 捹 飇 揼 飆
bfi 摆
bfia 捌 擺
bfie 揹 捗
bfo 拌
bfoa 揙
bfoe 抃 搒
bfoo 摈 擯
bfou 飚 颷 飈 飊
bfu 播
bfua 抱 飑 掤 颮
bfui 捭 捠
bfuo 扮 扒
bfuu 搬 扳 挀 颩
bg 宝
bga 靶
bgae 廦
bgai 弝 賔 寎
bgau 鞁 骳 巭
bge 庇
bgee 寚 寳 寶
bgei 鞴 鞤 弻 鞆 髆 庯 賓
bgeu 弼 魃
bgi 彃
bgia 鞸 魓
bgo 髌
bgoa 髉
bgoe 鞛 廍 髈
bgoo 髕
bgou 靽 庰 彆
bgu 宾
bgua 骲 瓝 瓟 鞄 弸
bgui 鞭 髀 庳 鵖 鞞
bguu 庍
bh 比
bhe 炳
bhea 秕
bhei 煏 稫 熛 煿
