;; -*- coding: utf-8 -*-
[Comment]

[Parameter]
first-char=yxwvtsrqpnmlkjihgfedcb
total-char=yxwtsrqpnmlkjihgfdcuzovea;/.,b
page-length=3

[Punctuation]
{ 『
| ÷
} 』
` ・
! ！
$ ￥
% ％
& ※
( （
) ）
* ×
+ ＋
, ，
. 。
/ 、
: ：
; ；
< 《
= ＝
> 》
? ？
[ 【
] 】
^ ……
_ ──
" “ ”
' ‘ ’

[Table]
b 不过
b, 变
b. 必
b/ 本
b; 办
ba 布
ba, 奔
ba,, 磅 不[hv]
ba,; 碚
ba,e 殡
bae 碑
bae, 礴
baev 砭
bao 泵
bav 碥
baz 甭
baz; 飙
baze 夯
bb 避
bb, 辟
bb,, 襞
bb; 屏
bb;; 屄
bb;a 鐾
bba 弼
bba, 檗
bbe 擘
bbu 壁
bbu, 璧
bbuu 剥
bbv 臂
bbz 嬖
bc 己
bc, 榜
bc,e 槟
bca 杯
bca, 柄
bce 板
bcea 柏
bcee 彬
bcu 标
bcuu 棒
bcuv 梆
bcz 杓
bd 百
bd, 滨
bd,, 汴
bd,u 汴
bd,z 渤
bda 灞
bde 泊
bde; 浜
bdea 百[bd]
bdee 滗
bdeo 濞
bdo 逼
bdoa 瀑
bdu 濒
bdz 波
be 展
be, 苄
be,, 蒡
be,a 薄
be,u 苄
be,v 荸
be,z 菠
be; 蔽
be;o 蕃
bea 苯
bea, 荜
beaa 菝
beav 茇
bee 蓓
bee, 萆
bee; 葆
beea 蓖
bev 芭
bev, 薜
bez 苞
bf 博
bf, 丙
bf,e 鬓
bfa 鞴
bfaa 本[b/]
bfe 鞭
bfee 髟
bfo 贲
bfo, 逋
bfu 醭
bfv 靶
bfva 孛
bfvu 邴
bfz 勃
bfza 鹁
bg 帮
bg, 斑
bg; 班
bga 碧
bgv 邦
bgvv 耙
bgz 玻
bgz, 表[bu]
bh 部
bh, 卞
bh; 辨
bha 病
bha, 瓿
bhau 瘭
bhav 霸
bhaz 庇
bhe 褒
bhe, 瓣
bhe,u 庳
bhe; 瘪
bhev 亳
bhez 瘢
bho 冰
bhoa 痹
bhou 禀
bhu 禀
bhu, 卞
bhu,, 癍
bhuu 斌
bhv 辩
bhv, 变[b,]
bhva 辫
bhvv 疤
bhz 雹
bi 别
bi, 啵
bi,; 踣
bi; 叭
bia 哺
bia, 哔
bia,u 跸
biav 跋
biaz 吡
bio 蹦
bio, 呗
biov 嘣
biu 卟
biv 鄙
bivv 吧[bv]
biz 跛
biz, 趵
bj 便
bj, 倍
bj,, 卜
bj,,e 傍
bj,e 傧
bj; 保
bj;, 煲
bj;u 伴
bja 闭
bjao 佰
bje 伯
bje, 俾
bju 堡
bk 把
bk, 摈
bk; 拌
bk;, 扒
bk;o 播
bk;u 捌
bk;z 扮
bka 拔
bka, 捕
bkaa 搏
bke 搬
bke, 捭
bkev 扳
bko 摆
bku 拜
bkv 摒
bkvv 报[kv]
bkz 抱
bkzv 彼
bkzv, 拨
bl 被
bl, 谤
bl,, 必[b.]
bla 弁
blao 畚
ble 裨
ble; 褓
blo 遍
blou 扁
blu 补
bluv 褙
bluz 裱
blv 褊
bm 半
bm, 八
bm,; 焙
bm; 蹩
