厂 cea
恭 gea
赫 hea
框 kea
抹 mea
撵 nea
飘 pea
榕 rea
松 sea
推 tea
溃 koa
叠 dae
缚 fae
妞 nae
夺 dee
构 gee
枯 kee
蕊 ree
捱 vee
蝶 die
冈 gie
呵 hie
吭 kie
墨 mie
囔 nie
瞳 tie
峨 vie
怩 noe
潭 toe
堡 pue
媚 mai
奴 nai
跋 bii
虫 cii
迪 dii
贩 fii
咕 gii
喊 hii
喀 kii
哩 lii
眸 mii
喏 nii
呸 pii
峭 qii
踢 tii
噢 vii
吻 wii
响 xii
叶 yii
淡 doi
究 joi
窟 koi
泞 noi
泡 poi
滩 toi
亡 woi
写 xoi
站 zoi
牡 mui
剥 bao
缝 fao
绘 hao
妮 nao
骈 pao
臀 tao
嫒 vao
纸 zao
朝 ceo
掉 deo
芙 feo
革 geo
魂 heo
扩 keo
拈 neo
秦 qeo
揉 reo
友 yeo
崩 bio
齿 cio
盯 dio
蜂 fio
跪 gio
睛 jio
叩 kio
龄 lio
曼 mio
咛 nio
咆 pio
跄 qio
喔 vio
唯 wio
版 buo
仞 ruo
绑 bau
纷 fau
艮 gau
骇 hau
陵 lau
纵 zau
获 heu
捺 neu
鄙 biu
晨 ciu
典 diu
吩 fiu
贵 giu
呼 hiu
昆 kiu
略 liu
盟 miu
呐 niu
啪 piu
遣 qiu
吐 tiu
哎 viu
吴 wiu
呀 yiu
止 ziu
窥 kou
泼 pou
涛 tou
傅 fuu
锅 guu
朦 muu
猱 nuu
偌 ruu
顺 suu
透 tuu
迩 vuu
魏 wuu
