d 的
y 一
b 不
s 是
l 了
r 人
t 他
w 我
z 在
ye 有
do 道
n 你
le 来
ta 她
de 大
g 个
si 上
zi 中
dl 到
so 说
c 出
dt 地
wo 为
m 没
yx 要
zo 着
za 子
x 下
na 那
ya 也
du 得
h 和
hu 会
zl 这
j 就
sq 时
yr 以
zd 之
gi 国
k 可
q 去
mu 名
xo 心
ge 过
ha 好
ru 然
da 对
zu 自
xi 小
te 天
ku 看
su 手
sn 生
li 里
v 而
f 发
hk 后
ns 能
jo 家
qe 起
zk 只
mr 们
xe 想
se 事
he 还
ra 如
sp 身
dx 多
yj 已
me 面
we 无
to 头
fo 方
ke 开
dv 都
qo 前
zs 知
ji 见
st 声
yz 又
zr 作
ce 成
lh 两
yu 用
yv 于
ja 经
lt 老
xu 笑
fd 法
nu 年
di 当
ri 日
yo 意
db 点
dle 动
sj 所
ci 此
xc 行
xw 现
je 进
ql 情
dr 但
zw 主
sr 什
be 把
ti 同
dg 定
qu 全
hi 回
sv 三
ym 样
la 力
fu 分
bm 本
xk 向
sg 实
wm 问
nz 女
go 高
sh 十
ho 话
vu 儿
mi 明
qp 气
jz 将
yh 与
yi 眼
ze 正
zt 走
cu 从
zsi 真
xv 些
lw 理
jze 己
ki 口
wu 外
gu 公
mo 门
jm 间
qh 其
zh 再
dp 等
ch 才
zhi 种
gh 工
xx 学
ma 民
ys 业
xm 相
hc 很
gb 关
yk 因
wd 文
ve 二
bo 部
hr 何
qv 却
tk 听
sx 少
ms 目
sni 神
bn 被
bu 白
zro 住
ztu 者
df 打
xj 新
br 便
yp 月
xn 先
wr 位
zq 最
jmu 机
ga 给
ni 内
sre 使
ss 山
yg 引
xr 信
jl 加
ju 几
bi 别
msu 么
cw 处
co 次
ssa 水
td 太
gx 光
rp 入
bb 并
hre 合
lo 立
yq 由
fp 风
bv 表
bf 报
ny 难
sd 死
cp 长
jr 今
p 平
zse 展
sk 四
jp 金
zx 怎
tu 体
sda 色
vo 安
gq 果
ff 放
ghi 更
mz 马
xh 西
gxe 感
jx 觉
hru 化
my 美
ko 快
zxo 总
fe 夫
dpa 第
jf 接
zre 做
zsia 直
jk 叫
bh 比
zwe 政
jla 建
ll 连
ct 场
sw 市
lu 利
ww 望
swo 数
jj 解
zlu 制
xl 性
ro 让
xru 像
yc 原
bni 步
jlu 近
qc 轻
xxu 系
sc 世
wh 王
jw 教
tn 特
ba 边
tf 托
cv 重
tl 通
wha 万
sji 师
cl 产
jje 结
spi 算
rr 任
sa 双
dq 电
lv 脸
cj 常
dh 东
lz 路
zg 张
qa 强
sz 受
gw 各
jy 记
fi 非
ld 冷
zc 著
vz 爱
mre 命
hcu 花
fa 飞
hd 活
yva 云
jpa 及
dge 度
bx 必
mk 吗
zte 至
qd 清
qle 亲
gg 官
sto 思
whi 五
jru 件
bw 变
gy 该
hdu 海
gp 管
wv 未
zp 长
zf 指
sy 谁
jd 江
jye 计
dj 带
ry 认
sne 社
jwu 交
sdo 深
yd 言
hs 华
wc 往
bk 吧
